x	y	z (elevasi)	gFA	x parasnis	y parasnis	g Bouger	SBA
739900.3592	9671090.413	737	106	30.89504	106	71.058592	34.941408
741757.4951	9671086.768	779	112.1	32.65568	112.1	75.108064	36.991936
743614.6516	9671083.095	831	123.7	34.83552	123.7	80.121696	43.578304
745460.708	9671079.416	945	139	39.6144	139	91.11312	47.88688
747317.906	9671075.686	1129	154	47.32768	154	108.853664	45.146336
749175.1251	9671071.929	1301	165.8	54.53792	165.8	125.437216	40.362784
751021.2441	9671068.166	1611	170.9	67.53312	170.9	155.326176	15.573824
752878.5057	9671064.353	1677	168.2	70.29984	168.2	161.689632	6.510368
754735.7888	9671060.511	1443	158.2	60.49056	158.2	139.128288	19.071712
756581.9719	9671056.664	1299	142.7	54.45408	142.7	125.244384	17.455616
758439.2984	9671052.766	1239	126.1	51.93888	126.1	119.459424	6.640576
760296.647	9671048.84	1139	111.7	47.74688	111.7	109.817824	1.882176
762142.8956	9671044.91	1139	103.7	47.74688	103.7	109.817824	-6.117824
764000.2885	9671040.928	1187	103.7	49.75904	103.7	114.445792	-10.745792
765857.7038	9671036.917	1233	111.7	51.68736	111.7	118.880928	-7.180928
767704.0194	9671032.903	1267	125.5	53.11264	125.5	122.159072	3.340928
769561.48	9671028.836	1359	140.6	56.96928	140.6	131.029344	9.570656
771418.9637	9671024.741	1629	153.2	68.28768	153.2	157.061664	-3.861664
773265.3475	9671020.643	1997	158.5	83.71424	158.5	192.542752	-34.042752
775122.8774	9671016.492	1863	154.8	78.09696	154.8	179.623008	-24.823008
776980.4307	9671012.313	1547	141.9	64.85024	141.9	149.155552	-7.255552
778826.8843	9671008.131	1495	121.9	62.6704	121.9	144.14192	-22.24192
780684.4848	9671003.895	1633	99.9	68.45536	99.9	157.447328	-57.547328
782542.1092	9670999.632	1151	80	48.24992	80	110.974816	-30.974816
784388.634	9670995.366	717	67.5	30.05664	67.5	69.130272	-1.630272
786246.3066	9670991.046	839	65	35.17088	65	80.893024	-15.893024
788104.0035	9670986.698	1055	73.1	44.2256	73.1	101.71888	-28.61888
738050.792	9669257.875	871	109.8	36.51232	109.8	83.978336	25.821664
739896.7593	9669254.26	797	109.3	33.41024	109.3	76.843552	32.456448
741753.8673	9669250.594	859	114.5	36.00928	114.5	82.821344	31.678656
743610.9959	9669246.901	929	124.4	38.94368	124.4	89.570464	34.829536
745457.0245	9669243.202	975	137.2	40.872	137.2	94.0056	43.1944
747314.1946	9669239.452	1009	149.7	42.29728	149.7	97.283744	52.416256
749171.3858	9669235.673	1187	159	49.75904	159	114.445792	44.554208
751017.4771	9669231.89	1423	162.2	59.65216	162.2	137.199968	25.000032
752874.7107	9669228.055	1427	158.4	59.81984	158.4	137.585632	20.814368
754731.9659	9669224.192	1331	148.3	55.79552	148.3	128.329696	19.970304
756578.1213	9669220.324	1211	133.8	50.76512	133.8	116.759776	17.040224
758435.4198	9669216.404	1153	119.1	48.33376	119.1	111.167648	7.932352
760292.7404	9669212.456	1095	107.8	45.9024	107.8	105.57552	2.22448
762138.9613	9669208.504	1197	103.8	50.17824	103.8	115.409952	-11.609952
763996.3262	9669204.499	1241	108.4	52.02272	108.4	119.652256	-11.252256
765853.7136	9669200.467	1237	121.2	51.85504	121.2	119.266592	1.933408
767700.0014	9669196.43	1261	139.7	52.86112	139.7	121.580576	18.119424
769557.4341	9669192.341	1357	158.8	56.88544	158.8	130.836512	27.963488
771414.8898	9669188.223	1599	174.2	67.03008	174.2	154.169184	20.030816
773261.2459	9669184.102	1977	180.8	82.87584	180.8	190.614432	-9.814432
775118.7478	9669179.928	2113	176.2	88.57696	176.2	203.727008	-27.527008
776976.2732	9669175.726	1811	160.4	75.91712	160.4	174.609376	-14.209376
778822.699	9669171.52	1695	135.5	71.0544	135.5	163.42512	-27.92512
780680.2715	9669167.261	1633	107	68.45536	107	157.447328	-50.447328
782537.868	9669162.974	1229	79.8	51.51968	79.8	118.495264	-38.695264
784384.365	9669158.684	739	60	30.97888	60	71.251424	-11.251424
786242.0095	9669154.34	691	50.9	28.96672	50.9	66.623456	-15.723456
788099.6785	9669149.968	855	54.1	35.8416	54.1	82.43568	-28.33568
738047.1783	9667410.68	813	114.4	34.08096	114.4	78.386208	36.013792
739893.1176	9667407.045	1023	114.3	42.88416	114.3	98.633568	15.666432
741750.1974	9667403.36	981	118.7	41.12352	118.7	94.584096	24.115904
743607.2977	9667399.646	863	126.8	36.17696	126.8	83.207008	43.592992
745453.2982	9667395.926	923	137.3	38.69216	137.3	88.991968	48.308032
747310.4401	9667392.155	1051	147.3	44.05792	147.3	101.333216	45.966784
